source;source_lat;source_lng;target;target_lat;target_lng;cost;directed
759653631;-3.7138177;-38.4731455;759653633;-3.7139033;-38.473049;0.000128994612289214;t
263930118;-3.7580446;-38.5224922;263930121;-3.7593904;-38.5214747;0.00168715259831677;f
587741476;-3.7402528;-38.5168169;587741465;-3.7392151;-38.5164771;0.00109191818832693;t
1271040212;-3.7731754;-38.6001281;1271040183;-3.7731968;-38.5998759;0.000253106301777013;t
1304307087;-3.7338935;-38.5941006;1289742254;-3.7342812;-38.5949678;0.000949919538699428;f
1295889301;-3.6964515;-38.5791779;1295889303;-3.6965746;-38.5789419;0.000266175900487847;t
626198457;-3.7626622;-38.5351993;626198520;-3.7628335;-38.5344698;0.000749342338326269;f
263323181;-3.7561137;-38.6112049;263323183;-3.7568066;-38.6116574;0.000827566710302598;f
265021175;-3.7316706;-38.5298982;265021079;-3.7313383;-38.5309203;0.00107476122929718;t
263973346;-3.7433182;-38.6148725;263973349;-3.74354;-38.6165021;0.00164462500285128;f
264719295;-3.7776965;-38.473405;264719296;-3.7778187;-38.4736192;0.000246605920449917;f
587735209;-3.7421377;-38.5101675;476792280;-3.7412493;-38.5098902;0.000930671719780663;t
499842912;-3.771102;-38.6250572;499842918;-3.772832;-38.6230573;0.00264433356632742;f
622414415;-3.7737755;-38.4765557;622414440;-3.7737524;-38.4762662;0.000290420143930415;f
622031759;-3.7904646;-38.4777991;622050833;-3.7903921;-38.4770108;0.000791626894435965;f
628524128;-3.7773915;-38.5586932;628524129;-3.7757593;-38.5580344;0.00176014041485465;f
263951162;-3.7527118;-38.5393732;263951160;-3.7530007;-38.5382641;0.00114610907857913;t
265085197;-3.7240305;-38.5370407;265626218;-3.7229623;-38.5367218;0.00111478627996494;f
1524517275;-3.7501521;-38.6608661;1524517273;-3.7499531;-38.6610221;0.000252857667471557;t
264943477;-3.7973919;-38.5184015;264943478;-3.7966877;-38.5182435;0.000721707447655788;t
263282937;-3.7954013;-38.6238908;263282938;-3.7952141;-38.6239658;0.000201665168039485;f
616324439;-3.753265;-38.4687267;616324440;-3.7523764;-38.471484;0.00289694895536558;f
628525112;-3.7634964;-38.5549879;628524779;-3.7641715;-38.5540349;0.00116789083822269;f
265206729;-3.6831971;-38.655989;265206733;-3.6832142;-38.6556297;0.000359706686064696;t
1295889491;-3.7345064;-38.5841597;1302848027;-3.7314609;-38.5845166;0.00306634111931448;t
622414412;-3.7737327;-38.4760193;622414442;-3.7736256;-38.4749893;0.00103555319032882;f
975719171;-3.8107489;-38.483006;975719192;-3.8112483;-38.4819688;0.00115116645191406;f
1304307104;-3.6917942;-38.6165515;1304307074;-3.6918156;-38.6162458;0.000306448119588015;f
616325161;-3.7431158;-38.4688769;616325051;-3.7438652;-38.4691344;0.000792405584282458;f
1304306535;-3.7128808;-38.5897034;1304307260;-3.7160174;-38.5906256;0.00326935963148886;f
540456754;-3.681;-38.655;540456751;-3.687;-38.639;0.0170880074906333;f
264954701;-3.7875143;-38.5131341;264954703;-3.7864918;-38.5131536;0.00102268592441662;f
616297198;-3.7358464;-38.4875451;622032184;-3.7358622;-38.4870122;0.000533134176353208;t
781766655;-3.7093706;-38.4667881;781766660;-3.7087068;-38.465608;0.00135398170223913;f
1295889324;-3.6978648;-38.5771126;1295889419;-3.6981057;-38.5767961;0.000397749996854774;t
616542042;-3.7522165;-38.508869;478337738;-3.7520827;-38.5077413;0.00113560984937395;t
253406601;-3.7458112;-38.5253901;253406600;-3.7461546;-38.5252863;0.000358745034810526;t
1271040177;-3.7727257;-38.6052994;1271040192;-3.7752651;-38.6059624;0.00262452307286547;t
1295889340;-3.6947813;-38.5817099;1295889225;-3.6950115;-38.5812593;0.000505996442675939;t
712721776;-3.8387625;-38.5835634;252736094;-3.8387401;-38.583723;0.000161164264025408;t
616348217;-3.7488328;-38.4948944;616348225;-3.7498605;-38.4952806;0.00109786963251592;t
263982109;-3.7582146;-38.6471311;263341764;-3.7580068;-38.6467078;0.000471554588569742;f
616662877;-3.7072271;-38.5691789;616662878;-3.7068524;-38.5690608;0.00039287109845185;f
599631301;-3.7186481;-38.5198853;599631299;-3.7185072;-38.5198877;0.000140920438545893;f
100456644;-3.686977;-38.6325716;100480163;-3.6864614;-38.6325718;0.000515600038789708;f
265639722;-3.759027;-38.5438521;265639723;-3.7588373;-38.5436886;0.00025043629928539;f
599631508;-3.724181;-38.5039799;476746030;-3.7235471;-38.5054008;0.00155588753449542;t
263283655;-3.7810514;-38.6111302;263283657;-3.7802627;-38.6112048;0.000792220202974113;f
263973325;-3.7498593;-38.6177705;263973326;-3.749887;-38.6170668;0.000704244971578484;f
476792294;-3.7269577;-38.5053422;477371698;-3.7267119;-38.5064267;0.00111200624548353;t
365796562;-3.7331133;-38.659909;365796543;-3.7331322;-38.6588049;0.00110426175338919;f
621557253;-3.7409336;-38.4810167;616325596;-3.7421362;-38.4773527;0.00385631206724822;f
265207620;-3.7518098;-38.5334451;265207623;-3.7516606;-38.5337183;0.000311285849336905;f
265639752;-3.7675502;-38.5497892;265639754;-3.7674587;-38.549514;0.000290012568690519;f
263283242;-3.8054871;-38.6196849;263283244;-3.8056243;-38.6196574;0.000139928874790067;f
621913246;-3.7463665;-38.4798387;621913247;-3.7459811;-38.4797422;0.000397297634024186;t
1285208028;-3.7586162;-38.5731764;1285208003;-3.7587503;-38.5730464;0.00018676940327479;f
759729000;-3.7598215;-38.4544773;759728857;-3.7589222;-38.4559794;0.00175072696328936;f
975711277;-3.7480501;-38.46177;975711276;-3.7498126;-38.4623045;0.00184176450720503;f
263283504;-3.7974496;-38.6076108;263283507;-3.7970702;-38.6075959;0.000379692467663479;f
265021154;-3.7374862;-38.5122113;265021155;-3.737287;-38.5125972;0.000434280381785641;t
616541927;-3.7543141;-38.5074668;478337781;-3.7544144;-38.5084696;0.00100780351755173;f
759652929;-3.721569;-38.4641226;759652911;-3.7225754;-38.4636398;0.00111621539140099;f
1304306415;-3.6947599;-38.5830617;1304306551;-3.6948064;-38.5837829;0.000722697509336648;f
253390961;-3.7661699;-38.5178876;622541813;-3.7657234;-38.5179621;0.000452672619007729;t
616918366;-3.7915901;-38.4759495;616918363;-3.7910587;-38.4759932;0.000533193820294489;t
735984652;-3.7590112;-38.5502323;735984661;-3.7589313;-38.550482;0.000262171890183583;f
1194486843;-3.8441389;-38.6134183;1194486845;-3.844072;-38.6133754;7.94733917716949e-05;f
263331025;-3.7685793;-38.5940725;263331029;-3.7684306;-38.5939814;0.00017438721283705;f
628524070;-3.764451;-38.5568632;628524071;-3.7653812;-38.5573415;0.00104596507111738;f
499842294;-3.7658005;-38.6390562;499842297;-3.7657491;-38.6395454;0.000491892874520473;f
616324476;-3.7494909;-38.4712972;616324496;-3.7497321;-38.4713768;0.000253995275546476;f
264898900;-3.7452589;-38.5349289;264898901;-3.7452692;-38.5346082;0.000320865361168009;t
264770709;-3.7481358;-38.5180443;264770710;-3.7485586;-38.5168944;0.00122516523375558;t
616542004;-3.737811;-38.5042137;616542005;-3.7386393;-38.5044965;0.000875246668088542;t
477371702;-3.7265028;-38.512195;599631340;-3.7264965;-38.5128299;0.000634931256122916;t
622414440;-3.7737524;-38.4762662;622414412;-3.7737327;-38.4760193;0.000247684678573854;f
1327041679;-3.8251183;-38.4953102;1327041723;-3.8248721;-38.4953316;0.000247128306756249;f
263284315;-3.7988867;-38.5749755;263284318;-3.7967333;-38.5748902;0.00215508878007397;f
622031908;-3.7945124;-38.4842211;616918442;-3.7944743;-38.4834114;0.00081059589191929;f
1275276148;-3.7601955;-38.5858137;1295783040;-3.7601624;-38.5858757;7.02823590951087e-05;t
616541957;-3.7557808;-38.5111683;616541864;-3.755691;-38.5100917;0.00108033865061378;f
622394442;-3.8112617;-38.4230778;622394420;-3.8101484;-38.4221337;0.00145971288272614;f
265020837;-3.7542746;-38.5511982;265020838;-3.7538747;-38.5508218;0.000549178450050972;f
616662893;-3.7134582;-38.5670331;616662894;-3.7131156;-38.5680309;0.00105497848318646;f
264771129;-3.7229158;-38.5437999;264771130;-3.7224574;-38.5437172;0.000465800225418459;f
321006084;-3.7745044;-38.4321828;321006085;-3.7732625;-38.4327407;0.00136145804929746;f
616542051;-3.7497427;-38.5166078;616542052;-3.7507384;-38.5164361;0.00101039565517702;f
990529322;-3.755906;-38.5322185;990031754;-3.7558375;-38.5321548;9.35411139540314e-05;f
1289742032;-3.7408995;-38.6168507;1289742078;-3.7418351;-38.6170495;0.000956487741688286;f
253406585;-3.7460737;-38.5252172;253406588;-3.7457553;-38.5252905;0.000326728404029571;t
265626185;-3.7267544;-38.5330154;265626186;-3.727055;-38.5321222;0.000942425912200864;f
1295783185;-3.7467127;-38.5944139;1295783466;-3.7467728;-38.594405;6.07554112814796e-05;f
265206848;-3.6974249;-38.6309329;265207104;-3.6979296;-38.6309492;0.000504963147170377;t
263984790;-3.8395051;-38.5894468;263984791;-3.8395678;-38.5891506;0.000302763488545898;t
264770905;-3.7718828;-38.5373739;264770907;-3.7720154;-38.5369806;0.000415051382360161;f
599631271;-3.7224795;-38.5193787;599631267;-3.7223362;-38.5193004;0.000163296601311052;t
621913210;-3.7346455;-38.4843464;621913211;-3.7349432;-38.484538;0.000354028035613422;t
265626132;-3.7250547;-38.5270258;265626131;-3.7248313;-38.5277304;0.000739167585875026;t
265085148;-3.7107771;-38.5765673;265085149;-3.7111894;-38.5754083;0.00123015132809046;t
482988507;-3.7342558;-38.5519179;626124910;-3.7353866;-38.5516858;0.00115437387790907;f
264954804;-3.8364729;-38.5400862;264954805;-3.8362634;-38.5399266;0.00026336744293635;f
478337773;-3.7349739;-38.5022703;621557215;-3.7353103;-38.5012344;0.00108915277624211;t
265085102;-3.7039173;-38.587634;265085104;-3.7038479;-38.587615;7.19538741144783e-05;f
616924011;-3.7578721;-38.4814373;616924013;-3.7587071;-38.4813622;0.000838370449145492;f
1295889185;-3.733813;-38.5742858;1295889312;-3.7348975;-38.5741407;0.00109416372632234;f
263982006;-3.740931;-38.6553106;263982005;-3.7400745;-38.6552924;0.00085669334653636;f
1295782862;-3.752119;-38.5903637;1295783742;-3.7517818;-38.5910372;0.000753197245087017;f
263984751;-3.8078078;-38.6374332;263984752;-3.806546;-38.6375832;0.00127068455566338;f
616662914;-3.7120985;-38.5641792;616662915;-3.7117452;-38.5651985;0.00107879255652141;f
263929657;-3.7727984;-38.5508272;253390835;-3.7735108;-38.5509879;0.000730300109544321;t
621912761;-3.7657332;-38.4827355;621912763;-3.7664505;-38.4825638;0.00073756367860561;t
1295783058;-3.7445753;-38.5947157;1295783162;-3.7452395;-38.5946328;0.000669353456702785;f
344783280;-3.7640748;-38.6372627;344783216;-3.7649313;-38.6361727;0.00138625114968237;f
622424052;-3.7992289;-38.4807566;622414384;-3.7984301;-38.4805683;0.000820693810138308;f
499842261;-3.7643788;-38.6411934;499842264;-3.7644822;-38.6405437;0.000657876622168457;f
616542038;-3.7461754;-38.5114541;616542039;-3.7463673;-38.5104269;0.00104497150679149;f
616662767;-3.7210918;-38.5817209;616662768;-3.721049;-38.5824075;0.000687932700198407;f
616927900;-3.7743802;-38.4815553;616927903;-3.7742196;-38.4792165;0.0023443075310175;f
1283719590;-3.7496887;-38.6153888;1283719114;-3.7497039;-38.6152268;0.000162711523865716;f
265206870;-3.6949318;-38.6318195;265206873;-3.6947638;-38.6320469;0.000282727359836251;t
759730253;-3.7323169;-38.4583055;759730198;-3.7318683;-38.4573634;0.00104345309909257;f
1283719830;-3.7523366;-38.6156815;1283719022;-3.7526052;-38.6157096;0.000270065862337542;t
759583764;-3.7375773;-38.5856642;759583768;-3.7376228;-38.5855623;0.000111596863752626;t
1304306341;-3.7021206;-38.5902608;1304306407;-3.7024097;-38.590867;0.000671607958559082;t
574464161;-3.7523263;-38.497132;623733039;-3.7524654;-38.4972178;0.000163433319736781;f
1275276009;-3.7421252;-38.6109343;1275276037;-3.742197;-38.611485;0.00055536090068141;t
253406544;-3.7604976;-38.5186156;253406545;-3.7604047;-38.518835;0.000238257780570945;t
265207248;-3.6945673;-38.6220341;265207251;-3.6933833;-38.6197226;0.00259709226828573;t
253406688;-3.7248376;-38.5033686;477116603;-3.725143;-38.502405;0.00101083832535054;t
616927797;-3.7732165;-38.4818343;616927912;-3.773042;-38.4816519;0.000252428227423386;t
264719245;-3.7800217;-38.4925776;264719246;-3.7803723;-38.4927282;0.000381576624023874;f
595251302;-3.7237832;-38.6430144;595251303;-3.7239759;-38.6431216;0.000220511065482994;f
628525256;-3.7667241;-38.5490854;628525273;-3.765981;-38.5484345;0.000987860526594947;f
1295782588;-3.7696486;-38.5787917;1295783055;-3.7674503;-38.5776502;0.00247700325796911;t
1304306424;-3.7123096;-38.601697;1304307234;-3.7123773;-38.6015685;0.000145243037700924;f
100452505;-3.7799538;-38.4438816;100431155;-3.7799555;-38.4467049;0.00282330051181523;f
264954862;-3.8335393;-38.533517;264954863;-3.8334304;-38.5332986;0.000244044606579572;f
622414372;-3.802648;-38.4861044;622414351;-3.8025837;-38.4862438;0.000153514982977398;f
629736519;-3.7450662;-38.5383312;265639697;-3.7455665;-38.5377301;0.000782062209804889;f
264899017;-3.7328823;-38.5514804;264899016;-3.7330542;-38.5523071;0.000844382910767366;t
616663132;-3.7206999;-38.5620088;616663128;-3.7205002;-38.5612667;0.000768500162658018;f
621913408;-3.7248152;-38.4821025;621913409;-3.7252435;-38.4819523;0.000453873253232568;f
622031697;-3.7929753;-38.4776405;622031858;-3.7929359;-38.4768025;0.000838925717809883;f
623733212;-3.7521249;-38.4998663;616927651;-3.7520909;-38.4997944;7.95337035493669e-05;f
626124885;-3.738286;-38.5544866;626124788;-3.7371978;-38.5547521;0.00112012030157578;f
252755125;-3.7550284;-38.5232601;252755143;-3.7545563;-38.5233712;0.000484996515451033;t
975727630;-3.7122055;-38.6401868;975727641;-3.7132305;-38.640499;0.00107149140920368;t
263324303;-3.7790175;-38.5977295;263324304;-3.7787818;-38.5977603;0.000237703870393249;f
616348188;-3.7384531;-38.5022851;616348189;-3.737264;-38.5018753;0.00125773401401083;t
621912989;-3.7366455;-38.4761158;621913081;-3.73717;-38.4743456;0.00184626874804565;f
1295782562;-3.7407083;-38.5914633;264899031;-3.7398475;-38.5915755;0.000868081493869702;f
100501689;-3.7146413;-38.6175093;100476806;-3.7143003;-38.6162634;0.0012917228069526;f
265020948;-3.7493832;-38.5500748;265020950;-3.7504611;-38.551106;0.0014917244551188;t
616879272;-3.753723;-38.4894786;616879237;-3.7547079;-38.4879444;0.00182312853358838;f
616348278;-3.7381221;-38.4890234;616348279;-3.7381817;-38.488492;0.000534731820635221;f
264770590;-3.7369899;-38.5303469;264770588;-3.7372366;-38.5295788;0.000806745622852722;t
1248707847;-3.7708604;-38.6032791;1248707980;-3.7709566;-38.602315;0.00096888763538842;f
1371735082;-3.8430663;-38.481054;1371756448;-3.8424186;-38.4809808;0.000651823235241306;t
616927717;-3.7761145;-38.4906212;622032124;-3.7755503;-38.4925095;0.00197078627202192;f
1289742298;-3.7132339;-38.587128;1289742224;-3.7131528;-38.5880952;0.000970594173687568;f
499842523;-3.7754698;-38.6258983;499842525;-3.7755983;-38.625555;0.000366561236361595;f
626124766;-3.7346161;-38.5478773;626124767;-3.7346571;-38.5478691;4.18119600120971e-05;f
100432764;-3.7681292;-38.5021516;100455097;-3.7676136;-38.5024085;0.000576056394810691;f
264770726;-3.748342;-38.516957;264770725;-3.7479957;-38.5180033;0.00110211949442756;t
975719162;-3.8092572;-38.480285;975719174;-3.8090651;-38.4801761;0.00022082033420861;f
263929910;-3.802047;-38.5523494;263929830;-3.7876433;-38.5478937;0.0150771295736272;t
680069348;-3.7618746;-38.4837271;616924084;-3.7630965;-38.4836475;0.00122449000404292;f
1327035204;-3.8433166;-38.4872108;1327035222;-3.8433701;-38.4870606;0.000159443689119563;f
1465155049;-3.7288271;-38.4906484;599631702;-3.7290772;-38.4900486;0.000649853868185277;t
253406750;-3.7466514;-38.4506152;253406760;-3.747173;-38.4503126;0.000603020165502622;t
621557261;-3.7341357;-38.4944933;616297215;-3.7351132;-38.4947899;0.00102150761622169;t
1270762023;-3.7370441;-38.6127004;1270762027;-3.736531;-38.6127739;0.000518337592694108;t
264898894;-3.7573179;-38.5387675;626197734;-3.7575079;-38.5381663;0.00063050887384561;f
990579516;-3.7596987;-38.5236567;990579518;-3.759755;-38.5232087;0.000451523742453081;f
100480173;-3.715123;-38.4771791;100452530;-3.7152701;-38.477277;0.00017669980192407;f
622394133;-3.7966919;-38.4764323;622394090;-3.7966188;-38.4764395;7.34537269303496e-05;f
616662792;-3.7147015;-38.5868096;1289742061;-3.7154394;-38.5868759;0.000740872526147696;f
263973499;-3.7370572;-38.6460951;263973518;-3.7371802;-38.6463453;0.000278799282642075;t
264955073;-3.8415954;-38.5638191;264955075;-3.8418489;-38.5636815;0.000288437185537081;f
571729293;-3.7371915;-38.4986708;618050579;-3.7368677;-38.4996572;0.00103818659209435;t
622394368;-3.8034148;-38.4582255;622394371;-3.8035861;-38.4577749;0.000482062288506919;f
100477889;-3.7509198;-38.6333152;100503058;-3.751178;-38.634085;0.000811947830836826;f
264900252;-3.7517339;-38.5333749;264770846;-3.7521778;-38.5328917;0.000656147430078046;t
